dept,n_1996,n_2024,delta,pct_change
1,47,252,205,436.17
10,39,287,248,635.90
11,64,386,322,503.12
12,91,382,291,319.78
13,22,0,-22,-100.00
14,18,236,218,1211.11
15,125,778,653,522.40
16,47,278,231,491.49
17,84,256,172,204.76
18,84,331,247,294.05
2,32,422,390,1218.75
20,1,119,118,11800.00
21,0,10,10,
21A,0,90,90,
21G,0,428,428,
21H,0,190,190,
21L,0,170,170,
21M,0,220,220,
21T,0,156,156,
21W,0,152,152,
22,32,154,122,381.25
24,40,254,214,535.00
3,36,249,213,591.67
4,77,520,443,575.32
5,12,146,134,1116.67
6,67,654,587,876.12
7,13,208,195,1500.00
8,25,208,183,732.00
9,17,141,124,729.41
AS,0,40,40,
CC,0,46,46,
CMS,0,190,190,
CSB,0,10,10,
CSE,0,11,11,
EC,0,112,112,
EM,0,24,24,
ES,0,94,94,
HST,0,168,168,
IDS,0,68,68,
MAS,0,94,94,
MS,0,18,18,
NS,0,28,28,
SCM,0,79,79,
SP,0,28,28,
STS,0,136,136,
WGS,0,50,50,
