dept,n_courses,topic_entropy,topic_hhi
17,172,1.658425,0.273256
4,181,1.761917,0.230304
18,153,1.840480,0.227220
15,303,1.785639,0.213062
14,53,1.726064,0.202563
11,172,1.845730,0.185303
24,72,1.987944,0.179012
9,64,1.954126,0.162598
12,251,2.112646,0.147125
7,46,2.083683,0.144612
8,100,2.101021,0.138600
22,107,2.159284,0.133549
13,95,2.130658,0.133518
6,234,2.188514,0.132004
16,153,2.183812,0.130334
3,131,2.216466,0.126974
1,177,2.170782,0.126815
5,50,2.200530,0.124800
2,160,2.232208,0.113672
10,165,2.272422,0.113535
