topic,count_1996,share_1996,count_2024,share_2024
Biology & Health,112,0.039312,575,0.059389
Business & Management,306,0.107406,1005,0.103801
Chemistry,152,0.053352,321,0.033154
Computing & AI,380,0.133380,1502,0.155133
Design, Architecture & Media,474,0.166374,1915,0.197790
Energy & Environment,316,0.110916,803,0.082937
Humanities & Society,371,0.130221,1550,0.160091
Materials,199,0.069849,669,0.069097
Math & Statistics,244,0.085644,553,0.057116
Other/Unclassified,72,0.025272,313,0.032328
Physics,223,0.078273,476,0.049163
