word,count_1996,count_2024,freq_1996,freq_2024,log_ratio_2024_vs_1996
004j,1,0,0.00026144,0.00000000,-0.000261
00a,0,2,0.00000000,0.00000668,0.000007
00b,0,7,0.00000000,0.00002337,0.000023
010a,0,5,0.00000000,0.00001669,0.000017
010b,0,2,0.00000000,0.00000668,0.000007
016b,0,4,0.00000000,0.00001335,0.000013
01a,0,7,0.00000000,0.00002337,0.000023
01l,0,10,0.00000000,0.00003338,0.000033
02a,0,11,0.00000000,0.00003672,0.000037
041a,0,1,0.00000000,0.00000334,0.000003
041b,0,2,0.00000000,0.00000668,0.000007
042j,1,0,0.00026144,0.00000000,-0.000261
060a,0,4,0.00000000,0.00001335,0.000013
061a,0,5,0.00000000,0.00001669,0.000017
062j,1,0,0.00026144,0.00000000,-0.000261
070b,0,3,0.00000000,0.00001001,0.000010
070j,1,0,0.00026144,0.00000000,-0.000261
0911j,0,1,0.00000000,0.00000334,0.000003
0pt,0,1,0.00000000,0.00000334,0.000003
100a,0,106,0.00000000,0.00035383,0.000354
100b,0,69,0.00000000,0.00023032,0.000230
100k,0,2,0.00000000,0.00000668,0.000007
100l,0,8,0.00000000,0.00002670,0.000027
100p,0,29,0.00000000,0.00009680,0.000097
100q,0,29,0.00000000,0.00009680,0.000097
110a,0,2,0.00000000,0.00000668,0.000007
110b,0,3,0.00000000,0.00001001,0.000010
117a,0,2,0.00000000,0.00000668,0.000007
117b,0,2,0.00000000,0.00000668,0.000007
120a,0,1,0.00000000,0.00000334,0.000003
126j,1,0,0.00026144,0.00000000,-0.000261
13th,0,2,0.00000000,0.00000668,0.000007
1400j,0,1,0.00000000,0.00000334,0.000003
14c,0,1,0.00000000,0.00000334,0.000003
14th,0,2,0.00000000,0.00000668,0.000007
15th,0,1,0.00000000,0.00000334,0.000003
16th,0,5,0.00000000,0.00001669,0.000017
1700s,0,1,0.00000000,0.00000334,0.000003
17th,0,9,0.00000000,0.00003004,0.000030
1800s,0,1,0.00000000,0.00000334,0.000003
181a,0,5,0.00000000,0.00001669,0.000017
182a,0,5,0.00000000,0.00001669,0.000017
18th,0,12,0.00000000,0.00004006,0.000040
1900s,0,1,0.00000000,0.00000334,0.000003
1920s,0,4,0.00000000,0.00001335,0.000013
1930s,0,2,0.00000000,0.00000668,0.000007
1940s,0,2,0.00000000,0.00000668,0.000007
1950s,0,4,0.00000000,0.00001335,0.000013
1960s,0,5,0.00000000,0.00001669,0.000017
1970s,0,1,0.00000000,0.00000334,0.000003
1980s,0,3,0.00000000,0.00001001,0.000010
1990s,0,4,0.00000000,0.00001335,0.000013
19th,1,34,0.00026144,0.00011349,-0.000148
1d,0,2,0.00000000,0.00000668,0.000007
1i,2,0,0.00052288,0.00000000,-0.000523
